Date_Ajout,Date_Sortie,Titre,Artiste,Genre,Difficulté,preview_url,artwork_url
2026-01-12,1976-12-05,Oxygène Part IV,Jean-Michel Jarre,4,Difficile,./fichiers_audio/444_Oxygène_Part_IV_Jean-Michel_Jarre.m4a,./pochettes/444_Oxygène_Part_IV_Jean-Michel_Jarre.jpg
2026-01-12,1983-03-07,Blue Monday,New Order,4,Moyen,./fichiers_audio/445_Blue_Monday_New_Order.m4a,./pochettes/445_Blue_Monday_New_Order.jpg
2026-01-12,2000-11-13,One More Time,Daft Punk,4,Facile,./fichiers_audio/446_One_More_Time_Daft_Punk.m4a,./pochettes/446_One_More_Time_Daft_Punk.jpg
2026-01-12,1998-07-20,Music Sounds Better With You,Stardust,4,Facile,./fichiers_audio/447_Music_Sounds_Better_With_You_Stardust.m4a,./pochettes/447_Music_Sounds_Better_With_You_Stardust.jpg
2026-01-12,1999-03-22,Flat Beat,Mr. Oizo,4,Moyen,./fichiers_audio/448_Flat_Beat_Mr_Oizo.m4a,./pochettes/448_Flat_Beat_Mr_Oizo.jpg
2026-01-12,2002-06-12,Satisfaction,Benny Benassi,4,Moyen,./fichiers_audio/449_Satisfaction_Benny_Benassi.m4a,./pochettes/449_Satisfaction_Benny_Benassi.jpg
2026-01-12,2013-06-17,Animals,Martin Garrix,4,Facile,./fichiers_audio/450_Animals_Martin_Garrix.m4a,./pochettes/450_Animals_Martin_Garrix.jpg
2026-01-12,2013-12-18,Turn Down for What,DJ Snake & Lil Jon,4,Facile,./fichiers_audio/451_Turn_Down_for_What_DJ_Snake__Lil_Jon.m4a,./pochettes/451_Turn_Down_for_What_DJ_Snake__Lil_Jon.jpg
2026-01-12,2025-01-31,Wake Me Up,The Weeknd,1,Facile,./fichiers_audio/452_Wake_Me_Up_The_Weeknd.m4a,./pochettes/452_Wake_Me_Up_The_Weeknd.jpg
2026-01-12,2025-05-15,Mon amour,Soprano,3,Facile,./fichiers_audio/453_Mon_amour_Soprano.m4a,./pochettes/453_Mon_amour_Soprano.jpg
2026-01-12,2024-09-20,Romance,Clara Luciani,1,Facile,./fichiers_audio/454_Romance_Clara_Luciani.m4a,./pochettes/454_Romance_Clara_Luciani.jpg
